source_index,source_url,source_title,missing_related_url
1,https://dantri.com.vn/thoi-su/ha-noi-duoc-trao-quyen-thuc-hien-cac-du-an-lon-giup-thay-doi-bo-mat-thu-do-20251211091428421.htm,"Hà Nội được trao quyền thực hiện các dự án lớn, giúp thay đổi bộ mặt thủ đô",https://dantri.com.vn/thoi-su/yeu-cau-day-nhanh-xay-dung-them-cac-cau-qua-song-hong-song-duong-20251210234816061.htm
2,https://dantri.com.vn/thoi-su/cong-an-khong-chi-bao-ve-phap-luat-ma-con-la-nguoi-ban-dong-hanh-cua-dan-20250819070110207.htm,“Công an không chỉ bảo vệ pháp luật mà còn là người bạn đồng hành của dân”,https://dantri.com.vn/thoi-su/dai-uy-cong-an-livestream-ban-nong-san-giup-dan-ban-thoat-ngheo-20250817174159611.htm
2,https://dantri.com.vn/thoi-su/cong-an-khong-chi-bao-ve-phap-luat-ma-con-la-nguoi-ban-dong-hanh-cua-dan-20250819070110207.htm,“Công an không chỉ bảo vệ pháp luật mà còn là người bạn đồng hành của dân”,https://dantri.com.vn/thoi-su/tong-bi-thu-trao-tang-huan-chuong-sao-vang-cho-luc-luong-cong-an-nhan-dan-20250817122546318.htm
3,https://dantri.com.vn/thoi-su/tphcm-do-luong-hanh-phuc-va-su-hai-long-cua-nguoi-dan-bang-cach-nao-20251015114454081.htm,TPHCM đo lường hạnh phúc và sự hài lòng của người dân bằng cách nào?,https://dantri.com.vn/thoi-su/nu-dai-bieu-tre-nhat-dai-hoi-dang-bo-tphcm-20251014194029899.htm
4,https://dantri.com.vn/thoi-su/xa-lu-gay-chet-nguoi-phai-coi-do-la-toi-hinh-su-20251204162711795.htm,"""Xả lũ gây chết người phải coi đó là tội hình sự""",https://dantri.com.vn/thoi-su/thuy-dien-nho-co-phai-la-thu-pham-gay-mat-rung-tang-lu-lon-20201107073323987.htm
4,https://dantri.com.vn/thoi-su/xa-lu-gay-chet-nguoi-phai-coi-do-la-toi-hinh-su-20251204162711795.htm,"""Xả lũ gây chết người phải coi đó là tội hình sự""",https://dantri.com.vn/thoi-su/thuy-dien-thong-bao-xa-lu-luc-2h-sang-nguoi-dan-ung-pho-khong-kip-20221208184442851.htm
5,https://dantri.com.vn/thoi-su/chuyen-tu-quan-ly-bang-phap-luat-sang-kien-tao-the-che-phat-trien-20251213130858581.htm,"Chuyển từ “quản lý bằng pháp luật"" sang ""kiến tạo thể chế phát triển""",https://dantri.com.vn/thoi-su/ha-noi-thanh-lap-2-ban-chi-dao-thao-go-vuong-mac-the-che-va-quy-hoach-20251118232823892.htm
6,https://dantri.com.vn/thoi-su/bo-truong-cong-an-bo-tri-can-bo-theo-3-cap-tang-bien-che-cho-co-so-20251209084710100.htm,"Bộ trưởng Công an: “Bố trí cán bộ theo 3 cấp, tăng biên chế cho cơ sở”",https://dantri.com.vn/thoi-su/bo-truong-cong-an-noi-ve-dieu-kien-pham-nhan-duoc-hien-mo-bo-phan-co-the-20251112095614209.htm
7,https://dantri.com.vn/phap-luat/tai-khoan-no-200-trieu-dong-tu-nguoi-la-thanh-nien-bao-ngay-cong-an-20251205163659088.htm,"Tài khoản ""nổ"" 200 triệu đồng từ người lạ, thanh niên báo ngay công an",https://dantri.com.vn/phap-luat/thu-ky-toa-soan-bao-nhan-200-trieu-dong-de-go-bai-tren-facebook-20220919191847205.htm
7,https://dantri.com.vn/phap-luat/tai-khoan-no-200-trieu-dong-tu-nguoi-la-thanh-nien-bao-ngay-cong-an-20251205163659088.htm,"Tài khoản ""nổ"" 200 triệu đồng từ người lạ, thanh niên báo ngay công an",https://dantri.com.vn/phap-luat/con-trai-yeu-cau-chuyen-gap-180-trieu-dong-me-voi-bao-cong-an-20250704153937804.htm
7,https://dantri.com.vn/phap-luat/tai-khoan-no-200-trieu-dong-tu-nguoi-la-thanh-nien-bao-ngay-cong-an-20251205163659088.htm,"Tài khoản ""nổ"" 200 triệu đồng từ người lạ, thanh niên báo ngay công an",https://dantri.com.vn/phap-luat/kich-vao-duong-link-la-chu-tai-khoan-ngan-hang-bay-mat-200-trieu-dong-20200705071948329.htm
7,https://dantri.com.vn/phap-luat/tai-khoan-no-200-trieu-dong-tu-nguoi-la-thanh-nien-bao-ngay-cong-an-20251205163659088.htm,"Tài khoản ""nổ"" 200 triệu đồng từ người lạ, thanh niên báo ngay công an",https://dantri.com.vn/phap-luat/tai-khoan-bat-ngo-nhan-130-trieu-dong-co-gai-o-tphcm-lien-bao-cong-an-20250606155305587.htm
8,https://dantri.com.vn/thoi-su/bo-truong-tai-chinh-cam-ket-bo-quy-dinh-hoan-thue-lam-kho-doanh-nghiep-20251209184405030.htm,"Bộ trưởng Tài chính cam kết ""bỏ quy định hoàn thuế làm khó doanh nghiệp""",https://dantri.com.vn/kinh-doanh/bo-truong-tai-chinh-noi-ve-tinh-trang-nguoi-dan-bi-ep-mua-bao-hiem-20251118125018112.htm
9,https://dantri.com.vn/thoi-su/ong-nguyen-ngoc-luong-giu-chuc-chu-tich-uy-ban-mttq-viet-nam-tinh-gia-lai-20251204183354401.htm,Ông Nguyễn Ngọc Lương giữ chức Chủ tịch Ủy ban MTTQ Việt Nam tỉnh Gia Lai,https://dantri.com.vn/thoi-su/hon-41000-luot-nguoi-dan-o-tphcm-ung-ho-dong-bao-mien-trung-20251127091843442.htm
10,https://dantri.com.vn/giai-tri/tu-anh-trai-den-phim-mua-do-viet-nam-mang-chuong-di-xu-nguoi-duoc-chua-20251110032121585.htm,"Từ ""Anh trai"" đến phim Mưa đỏ: Việt Nam mang chuông đi xứ người được chưa?",https://dantri.com.vn/giai-tri/dan-dien-vien-phim-mua-do-nhan-bang-khen-cua-bo-truong-bo-quoc-phong-20251008002556063.htm
10,https://dantri.com.vn/giai-tri/tu-anh-trai-den-phim-mua-do-viet-nam-mang-chuong-di-xu-nguoi-duoc-chua-20251110032121585.htm,"Từ ""Anh trai"" đến phim Mưa đỏ: Việt Nam mang chuông đi xứ người được chưa?",https://dantri.com.vn/giai-tri/nsnd-tu-long-mang-cuong-seven-vi-hanh-dong-thao-man-tai-concert-anh-trai-20250324090405225.htm
10,https://dantri.com.vn/giai-tri/tu-anh-trai-den-phim-mua-do-viet-nam-mang-chuong-di-xu-nguoi-duoc-chua-20251110032121585.htm,"Từ ""Anh trai"" đến phim Mưa đỏ: Việt Nam mang chuông đi xứ người được chưa?",https://dantri.com.vn/giai-tri/ba-xa-cua-phuong-nam-mua-do-tiet-lo-chua-xem-phim-tung-bi-chong-trach-20250929104834846.htm
11,https://dantri.com.vn/cong-nghe/khat-vong-hung-cuong-2045-can-cu-hich-dot-pha-tu-dai-hoi-xiv-20251031014220629.htm,Khát vọng hùng cường 2045 cần cú hích đột phá từ Đại hội XIV,https://dantri.com.vn/thoi-su/nghi-quyet-57-tao-cu-hich-dot-pha-cong-nghe-chuyen-doi-so-20251022135206748.htm
12,https://dantri.com.vn/thoi-su/dang-tin-ca-sau-xuat-hien-tren-kenh-nam-thanh-nien-bi-moi-lam-viec-20251215135640009.htm,"Đăng tin cá sấu xuất hiện trên kênh, nam thanh niên bị mời làm việc",https://dantri.com.vn/phap-luat/tin-ban-trai-viet-kieu-nguoi-phu-nu-o-ha-noi-mat-hang-tram-trieu-dong-20251213212150126.htm
12,https://dantri.com.vn/thoi-su/dang-tin-ca-sau-xuat-hien-tren-kenh-nam-thanh-nien-bi-moi-lam-viec-20251215135640009.htm,"Đăng tin cá sấu xuất hiện trên kênh, nam thanh niên bị mời làm việc",https://dantri.com.vn/phap-luat/lap-tai-khoan-ao-cap-link-dan-den-1779-kenh-truyen-hinh-20251213212622866.htm
12,https://dantri.com.vn/thoi-su/dang-tin-ca-sau-xuat-hien-tren-kenh-nam-thanh-nien-bi-moi-lam-viec-20251215135640009.htm,"Đăng tin cá sấu xuất hiện trên kênh, nam thanh niên bị mời làm việc",https://dantri.com.vn/phap-luat/canh-bao-thu-doan-gia-danh-can-bo-lam-thu-tuc-dat-dai-de-lua-dao-20251214064953592.htm
13,https://dantri.com.vn/thoi-su/ba-con-tran-dat-bo-vao-vuon-nha-dan-20251211170345150.htm,Ba con trăn đất bò vào vườn nhà dân,https://dantri.com.vn/thoi-su/tran-nang-hon-30kg-cuon-tron-o-goc-nha-dan-20251106105959231.htm
